Player,Nation,Squad,Comp,Age,FW,MF,DF,GK,Nation_enc,Squad_enc,Comp_enc
Vedat Muriqi,KVX,Mallorca,La Liga,30.0,1,0,0,0,62,54,0
Jacob Murphy,ENG,Newcastle Utd,Premier League,30.0,1,0,0,0,31,64,2
Bob Murphy Omoregbe,ITA,Milan,Serie A,21.0,0,1,0,0,55,58,3
Yunus Musah,USA,Milan,Serie A,22.0,1,1,0,0,104,58,3
Jamal Musiala,GER,Bayern Munich,de Bundesliga,22.0,0,1,0,0,40,10,4
Florent Muslija,KVX,Freiburg,de Bundesliga,26.0,1,1,0,0,62,29,4
Almoatasem Al Musrati,LBY,Monaco,Ligue 1,28.0,0,1,0,0,63,59,1
Juan Musso,ARG,Atlético Madrid,La Liga,30.0,0,0,0,1,3,6,0
Kingstone Mutandwa,ZAM,Cagliari,Serie A,22.0,1,1,0,0,108,18,3
Junior Mwanga,FRA,Strasbourg,Ligue 1,21.0,0,1,0,0,36,81,1
Phillipp Mwene,AUT,Mainz 05,de Bundesliga,31.0,0,0,1,0,6,53,4
Vitaliy Mykolenko,UKR,Everton,Premier League,25.0,0,0,1,0,102,27,2
Joakim Mæhle,DEN,Wolfsburg,de Bundesliga,27.0,0,0,1,0,27,94,4
Obite N'Dicka,CIV,Roma,Serie A,25.0,0,0,1,0,16,76,3
Konan N'dri,CIV,Lecce,Serie A,24.0,1,1,0,0,16,45,3
Loïc N'Gatta,FRA,Auxerre,Ligue 1,21.0,0,0,1,0,36,8,1
Nathan N'Goumou,FRA,Gladbach,de Bundesliga,24.0,1,0,0,0,36,34,4
Djylian N'Guessan,FRA,Saint-Étienne,Ligue 1,16.0,1,0,0,0,36,77,1
Stanley N'Soki,FRA,Hoffenheim,de Bundesliga,25.0,0,0,1,0,36,37,4
Mickael Nade,FRA,Saint-Étienne,Ligue 1,26.0,0,0,1,0,36,77,1
Bilal Nadir,FRA,Marseille,Ligue 1,21.0,0,1,0,0,36,57,1
Mahamadou Nagida,CMR,Rennes,Ligue 1,19.0,0,0,1,0,17,75,1
Keito Nakamura,JPN,Reims,Ligue 1,24.0,1,0,0,0,58,74,1
Sebastian Nanasi,SWE,Strasbourg,Ligue 1,22.0,1,1,0,0,98,81,1
Yael Nandjou,FRA,Nice,Ligue 1,19.0,0,0,1,0,36,65,1
Matija Nastasić,SRB,Leganés,La Liga,31.0,0,0,1,0,93,46,0
Natan,BRA,Betis,La Liga,24.0,0,0,1,0,12,11,0
Pau Navarro,ESP,Villarreal,La Liga,19.0,0,0,1,0,33,91,0
Roberto Navarro,ESP,Mallorca,La Liga,22.0,1,1,0,0,33,54,0
Jesús Navas,ESP,Sevilla,La Liga,39.0,1,1,0,0,33,78,0
Michel Ndary Adopo,FRA,Cagliari,Serie A,24.0,0,1,0,0,36,18,3
Youssouf Ndayishimiye,BDI,Nice,Ligue 1,26.0,0,0,1,0,7,65,1
Iliman Ndiaye,SEN,Everton,Premier League,25.0,1,0,0,0,91,27,2
Junior Ndiaye,FRA,Montpellier,Ligue 1,19.0,1,0,0,0,36,60,1
Rassoul Ndiaye,SEN,Le Havre,Ligue 1,23.0,0,1,0,0,91,44,1
Wilfred Ndidi,NGA,Leicester City,Premier League,28.0,0,1,0,0,77,47,2
Wilfried Ndollo,CMR,Montpellier,Ligue 1,19.0,0,0,1,0,17,60,1
Tanguy Ndombele,FRA,Nice,Ligue 1,28.0,0,1,0,0,36,65,1
Cher Ndour,ITA,Fiorentina,Serie A,20.0,1,1,0,0,55,28,3
Dan Ndoye,SUI,Bologna,Serie A,24.0,1,0,0,0,94,13,3
Paul Nebel,GER,Mainz 05,de Bundesliga,22.0,0,1,0,0,40,53,4
Kosta Nedeljković,SRB,RB Leipzig,de Bundesliga,19.0,1,0,1,0,93,70,4
Loïc Nego,HUN,Le Havre,Ligue 1,34.0,1,0,1,0,48,44,1
Ivan Nekić,CRO,Holstein Kiel,de Bundesliga,24.0,0,0,1,0,23,38,4
Reiss Nelson,ENG,Fulham,Premier League,25.0,1,0,0,0,31,30,2
Victor Nelsson,DEN,Roma,Serie A,26.0,0,0,1,0,27,76,3
David Nemeth,AUT,St. Pauli,de Bundesliga,23.0,0,0,1,0,6,80,4
David Neres,BRA,Napoli,Serie A,28.0,1,0,0,0,12,63,3
Neto,BRA,Bournemouth,Premier League,35.0,0,0,0,1,12,14,2
Pedro Neto,POR,Chelsea,Premier League,25.0,1,0,0,0,86,20,2
Luca Netz,GER,Gladbach,de Bundesliga,21.0,0,0,1,0,40,34,4
Manuel Neuer,GER,Bayern Munich,de Bundesliga,38.0,0,0,0,1,40,10,4
Florian Neuhaus,GER,Gladbach,de Bundesliga,27.0,0,1,0,0,40,34,4
João Neves,POR,Paris S-G,Ligue 1,20.0,0,1,1,0,86,68,1
Yvan Neyou,CMR,Leganés,La Liga,28.0,0,1,0,0,17,46,0
Cyril Ngonge,BEL,Napoli,Serie A,24.0,1,0,1,0,8,63,3
Mikayil Ngor Faye,SEN,Rennes,Ligue 1,20.0,0,0,1,0,91,75,1
Steve Ngoura,FRA,Le Havre,Ligue 1,20.0,1,0,0,0,36,44,1
Bernard Nguene,CMR,Nice,Ligue 1,18.0,1,0,0,0,17,65,1
Moussa Niakhate,SEN,Lyon,Ligue 1,29.0,0,0,1,0,91,52,1
Abdoulaye Niakhate Ndiaye,SEN,Brest,Ligue 1,22.0,0,0,1,0,91,16,1
Ibrahima Niane,SEN,Angers,Ligue 1,25.0,1,0,0,0,91,1,1
Tanguy Nianzou,FRA,Sevilla,La Liga,22.0,0,0,1,0,36,78,0
Cheikh Niasse,SEN,Hellas Verona,Serie A,25.0,0,1,0,0,91,36,3
Rasmus Nicolaisen,DEN,Toulouse,Ligue 1,27.0,0,0,1,0,27,85,1
Moritz Nicolas,GER,Gladbach,de Bundesliga,27.0,0,0,0,1,40,34,4
Hans Nicolussi Caviglia,ITA,Venezia,Serie A,24.0,0,1,0,0,55,90,3
Julian Niehues,GER,Heidenheim,de Bundesliga,23.0,0,1,0,0,40,35,4
Saúl Ñíguez,ESP,Sevilla,La Liga,30.0,0,1,0,0,33,78,0
Eybi Nije,SWE,Torino,Serie A,19.0,1,1,0,0,98,83,3
Tamás Nikitscher,HUN,Valladolid,La Liga,25.0,0,1,0,0,48,89,0
Adrian Niño,ESP,Atlético Madrid,La Liga,20.0,1,0,0,0,33,6,0
Justin Njinmah,GER,Werder Bremen,de Bundesliga,24.0,1,1,0,0,40,92,4
Eddie Nketiah,ENG,Crystal Palace,Premier League,25.0,1,1,0,0,31,22,2
Niels Nkounkou,FRA,Eint Frankfurt,de Bundesliga,24.0,0,1,1,0,36,24,4
Christopher Nkunku,FRA,Chelsea,Premier League,27.0,1,0,0,0,36,20,2
Felix Nmecha,GER,Dortmund,de Bundesliga,24.0,0,1,0,0,40,23,4
Lukas Nmecha,GER,Wolfsburg,de Bundesliga,26.0,1,0,0,0,40,94,4
