Player,Nation,Squad,Comp,Age,FW,MF,DF,GK,Nation_enc,Squad_enc,Comp_enc
Devis Vásquez,COL,Empoli,Serie A,26.0,0,0,0,1,19,25,3
Johan Vásquez,MEX,Genoa,Serie A,26.0,0,0,1,0,68,31,3
Denis Vavro,SVK,Wolfsburg,de Bundesliga,28.0,0,0,1,0,96,94,4
José Luis García Vayá,ESP,Valencia,La Liga,26.0,0,1,0,0,33,88,0
Robinio Vaz,FRA,Marseille,Ligue 1,18.0,1,0,0,0,36,57,1
Jesus Vazquez,ESP,Valencia,La Liga,22.0,0,0,1,0,33,88,0
Lucas Vázquez,ESP,Real Madrid,La Liga,33.0,0,0,1,0,33,72,0
Matías Vecino,URU,Lazio,Serie A,33.0,0,1,0,0,103,43,3
Danilo Veiga,POR,Lecce,Serie A,22.0,1,0,1,0,86,45,3
Renato Veiga,POR,Juventus,Serie A,21.0,0,0,1,0,86,41,3
Alejo Véliz,ARG,Espanyol,La Liga,21.0,1,0,0,0,3,26,0
Miloš Veljković,SRB,Werder Bremen,de Bundesliga,29.0,0,0,1,0,93,92,4
Joël Veltman,NED,Brighton,Premier League,33.0,0,0,1,0,76,17,2
Micky van de Ven,NED,Tottenham,Premier League,23.0,0,0,1,0,76,84,2
Lorenzo Venturino,ITA,Genoa,Serie A,18.0,1,1,0,0,55,31,3
Nikolas Veratschnig,AUT,Mainz 05,de Bundesliga,22.0,1,0,1,0,6,53,4
Bart Verbruggen,NED,Brighton,Premier League,22.0,0,0,0,1,76,17,2
Simone Verdi,ITA,Como,Serie A,32.0,1,1,0,0,55,21,3
Jordan Veretout,FRA,Lyon,Ligue 1,32.0,0,1,0,0,36,52,1
Arthur Vermeeren,BEL,RB Leipzig,de Bundesliga,20.0,0,1,0,0,8,70,4
Yorbe Vertessen,BEL,Union Berlin,de Bundesliga,24.0,1,1,0,0,8,87,4
Mikel Vesga,ESP,Athletic Club,La Liga,31.0,0,1,0,0,33,5,0
Jannik Vestergaard,DEN,Leicester City,Premier League,32.0,0,0,1,0,27,47,2
Ben Viadere,FRA,Auxerre,Ligue 1,19.0,0,1,0,0,36,8,1
Guglielmo Vicario,ITA,Tottenham,Premier League,28.0,0,0,0,1,55,84,2
Carlos Vicente,ESP,Alavés,La Liga,25.0,1,1,0,0,33,0,0
Pau Victor Delgado,ESP,Barcelona,La Liga,23.0,1,0,0,0,33,9,0
Nacho Vidal,ESP,Osasuna,La Liga,30.0,0,0,1,0,33,67,0
Gabriel Vidovic,CRO,Mainz 05,de Bundesliga,21.0,0,1,0,0,23,53,4
Fran Vieites,ESP,Betis,La Liga,25.0,0,0,0,1,33,11,0
Samuele Vignato,ITA,Monza,Serie A,21.0,0,1,0,0,55,61,3
Asier Villalibre,ESP,Alavés,La Liga,27.0,1,0,0,0,33,0,0
Iván Villar,ESP,Celta Vigo,La Liga,27.0,0,0,0,1,33,19,0
Carlos Vinícius,BRA,Fulham,Premier League,29.0,0,1,0,0,12,30,2
Nicolas Viola,ITA,Cagliari,Serie A,35.0,1,1,0,0,55,18,3
Viti,ESP,Las Palmas,La Liga,27.0,0,0,1,0,33,42,0
Mattia Viti,ITA,Empoli,Serie A,23.0,0,0,1,0,55,25,3
Vitinha,POR,Paris S-G,Ligue 1,25.0,0,1,0,0,86,68,1
Daniel Vivian,ESP,Athletic Club,La Liga,25.0,0,0,1,0,33,5,0
Dušan Vlahović,SRB,Juventus,Serie A,25.0,1,0,0,0,93,41,3
Vanja Vlahović,SRB,Atalanta,Serie A,20.0,1,1,0,0,93,4,3
Nikola Vlašić,CRO,Torino,Serie A,27.0,1,1,0,0,23,83,3
Alessandro Vogliacco,ITA,Parma,Serie A,26.0,0,0,1,0,55,69,3
Kevin Vogt,GER,Union Berlin,de Bundesliga,33.0,0,0,1,0,40,87,4
Mërgim Vojvoda,KVX,Como,Serie A,30.0,0,0,1,0,62,21,3
Kevin Volland,GER,Union Berlin,de Bundesliga,32.0,1,1,0,0,40,87,4
Aster Vranckx,BEL,Wolfsburg,de Bundesliga,22.0,0,1,0,0,8,94,4
Stefan de Vrij,NED,Inter,Serie A,33.0,0,0,1,0,76,39,3
Ibrahima Wadji,SEN,Saint-Étienne,Ligue 1,29.0,1,1,0,0,91,77,1
Robert Wagner,GER,St. Pauli,de Bundesliga,21.0,0,1,0,0,40,80,4
Elye Wahi,FRA,Eint Frankfurt,de Bundesliga,22.0,1,1,0,0,36,24,4
Hauke Wahl,GER,St. Pauli,de Bundesliga,30.0,0,0,1,0,40,80,4
Kyle Walker,ENG,Milan,Serie A,34.0,0,0,1,0,31,58,3
Kyle Walker-Peters,ENG,Southampton,Premier League,27.0,0,0,1,0,31,79,2
Christian Walton,ENG,Ipswich Town,Premier League,29.0,0,0,0,1,31,40,2
Sebastian Walukiewicz,POL,Empoli,Serie A,24.0,0,0,1,0,85,25,3
Aaron Wan-Bissaka,ENG,West Ham,Premier League,27.0,0,0,1,0,31,93,2
Paul Wanner,GER,Heidenheim,de Bundesliga,19.0,1,1,0,0,40,35,4
Danny Ward,WAL,Leicester City,Premier League,31.0,0,0,0,1,107,47,2
James Ward-Prowse,ENG,Nott'ham Forest,Premier League,30.0,0,1,0,0,31,66,2
Kjell-Arik Wätjen,GER,Dortmund,de Bundesliga,19.0,0,1,0,0,40,23,4
Ollie Watkins,ENG,Aston Villa,Premier League,29.0,1,0,0,0,31,3,2
Timothy Weah,USA,Juventus,Serie A,25.0,1,0,1,0,104,41,3
Adam Webster,ENG,Brighton,Premier League,30.0,0,0,1,0,31,17,2
Julian Weigl,GER,Gladbach,de Bundesliga,29.0,0,1,0,0,40,34,4
Timon Weiner,GER,Holstein Kiel,de Bundesliga,26.0,0,0,0,1,40,38,4
Nelson Weiper,GER,Mainz 05,de Bundesliga,19.0,1,0,0,0,40,53,4
Mitchell Weiser,GER,Werder Bremen,de Bundesliga,30.0,0,1,1,0,40,92,4
Noah Weißhaupt,GER,Freiburg,de Bundesliga,23.0,1,0,0,0,40,29,4
Danny Welbeck,ENG,Brighton,Premier League,34.0,1,0,0,0,31,17,2
Welington,BRA,Southampton,Premier League,24.0,0,1,1,0,12,79,2
Timo Werner,GER,Tottenham,Premier League,29.0,1,1,0,0,40,84,2
Adam Wharton,ENG,Crystal Palace,Premier League,20.0,0,1,0,0,31,22,2
Ben White,ENG,Arsenal,Premier League,27.0,0,0,1,0,31,2,2
Silvan Widmer,SUI,Mainz 05,de Bundesliga,32.0,0,0,1,0,94,53,4
Mats Wieffer,NED,Brighton,Premier League,25.0,0,1,0,0,76,17,2
Mateusz Wieteska,POL,Cagliari,Serie A,28.0,0,0,1,0,85,18,3
Caleb Wiley,USA,Strasbourg,Ligue 1,20.0,0,1,1,0,104,81,1
Iñaki Williams,GHA,Athletic Club,La Liga,30.0,1,1,0,0,41,5,0
Neco Williams,WAL,Nott'ham Forest,Premier League,23.0,0,0,1,0,107,66,2
Nico Williams,ESP,Athletic Club,La Liga,22.0,1,0,0,0,33,5,0
Willian,BRA,Fulham,Premier League,36.0,0,1,0,0,12,30,2
Joe Willock,ENG,Newcastle Utd,Premier League,25.0,1,1,0,0,31,64,2
Callum Wilson,ENG,Newcastle Utd,Premier League,33.0,1,1,0,0,31,64,2
Harry Wilson,WAL,Fulham,Premier League,27.0,1,1,0,0,107,30,2
Patrick Wimmer,AUT,Wolfsburg,de Bundesliga,23.0,1,1,0,0,6,94,4
Jonas Wind,DEN,Wolfsburg,de Bundesliga,26.0,1,1,0,0,27,94,4
Harry Winks,ENG,Leicester City,Premier League,29.0,0,1,0,0,31,47,2
Ben Winterburn,ENG,Bournemouth,Premier League,20.0,0,1,0,0,31,14,2
Florian Wirtz,GER,Leverkusen,de Bundesliga,21.0,1,1,0,0,40,49,4
Yoane Wissa,COD,Brentford,Premier League,28.0,1,0,0,0,18,15,2
Dani de Wit,NED,Bochum,de Bundesliga,27.0,1,1,0,0,76,12,4
Axel Witsel,BEL,Atlético Madrid,La Liga,36.0,0,0,1,0,8,6,0
Maximilian Wittek,GER,Bochum,de Bundesliga,29.0,0,0,1,0,40,12,4
Marius Wolf,GER,Augsburg,de Bundesliga,29.0,0,0,1,0,40,7,4
Nick Woltemade,GER,Stuttgart,de Bundesliga,23.0,1,1,0,0,40,82,4
Jeong Woo-yeong,KOR,Union Berlin,de Bundesliga,25.0,1,1,0,0,60,87,4
Chris Wood,NZL,Nott'ham Forest,Premier League,33.0,1,0,0,0,80,66,2
Nathan Wood-Gordon,ENG,Southampton,Premier League,22.0,0,0,1,0,31,79,2
Christopher Wooh,CMR,Rennes,Ligue 1,23.0,0,0,1,0,17,75,1
Luke Woolfenden,ENG,Ipswich Town,Premier League,26.0,0,0,1,0,31,40,2
Granit Xhaka,SUI,Leverkusen,de Bundesliga,32.0,0,1,0,0,94,49,4
Lamine Yamal,ESP,Barcelona,La Liga,17.0,1,0,0,0,33,9,0
Daniel Yáñez,ESP,Real Madrid,La Liga,17.0,1,0,0,0,33,72,0
Erencan Yardimci,TUR,Hoffenheim,de Bundesliga,23.0,1,1,0,0,101,37,4
Yehor Yarmoliuk,UKR,Brentford,Premier League,21.0,0,1,0,0,102,15,2
Ryan Yates,ENG,Nott'ham Forest,Premier League,27.0,0,1,0,0,31,66,2
John Yeboah,ECU,Venezia,Serie A,24.0,1,1,0,0,29,90,3
Bertuğ Yıldırım,TUR,Getafe,La Liga,22.0,1,0,0,0,101,32,0
Kenan Yıldız,TUR,Juventus,Serie A,19.0,1,1,0,0,101,41,3
Leny Yoro,FRA,Manchester Utd,Premier League,19.0,0,0,1,0,36,56,2
Ashley Young,ENG,Everton,Premier League,39.0,1,0,1,0,31,27,2
Etienne Youte Kinkoue,FRA,Le Havre,Ligue 1,23.0,0,0,1,0,36,44,1
Illia Zabarnyi,UKR,Bournemouth,Premier League,22.0,0,0,1,0,102,14,2
Eloge Zabi,CIV,Reims,Ligue 1,18.0,0,1,1,0,16,74,1
Mattia Zaccagni,ITA,Lazio,Serie A,29.0,1,0,0,0,55,43,3
Dan-Axel Zagadou,FRA,Stuttgart,de Bundesliga,25.0,0,1,1,0,36,82,4
Yoram Zague,FRA,Paris S-G,Ligue 1,18.0,0,0,1,0,36,68,1
Wilfried Zaha,CIV,Lyon,Ligue 1,32.0,1,0,0,0,16,52,1
Warren Zaïre-Emery,FRA,Paris S-G,Ligue 1,19.0,0,1,1,0,36,68,1
Miha Zajc,SVN,Toulouse,Ligue 1,30.0,0,1,0,0,97,85,1
Denis Zakaria,SUI,Monaco,Ligue 1,28.0,0,1,0,0,94,59,1
Arsen Zakharyan,RUS,Real Sociedad,La Liga,21.0,1,1,0,0,89,73,0
Nicola Zalewski,POL,Inter,Serie A,23.0,0,0,1,0,85,39,3
Andre-Frank Zambo Anguissa,CMR,Napoli,Serie A,29.0,0,1,0,0,17,63,3
Francesco Zampano,ITA,Venezia,Serie A,31.0,0,0,1,0,55,90,3
Nicolò Zaniolo,ITA,Atalanta,Serie A,25.0,1,1,0,0,55,4,3
Alessandro Zanoli,ITA,Genoa,Serie A,24.0,1,0,1,0,55,31,3
Duván Zapata,COL,Torino,Serie A,33.0,1,0,0,0,19,83,3
Gabriele Zappa,ITA,Cagliari,Serie A,25.0,0,0,1,0,55,18,3
Davide Zappacosta,ITA,Atalanta,Serie A,32.0,0,0,1,0,55,4,3
Bryan Zaragoza,ESP,Osasuna,La Liga,23.0,1,1,0,0,33,67,0
Anass Zaroury,MAR,Lens,Ligue 1,24.0,1,1,0,0,67,48,1
Oier Zarraga,ESP,Udinese,Serie A,26.0,0,1,0,0,33,86,3
David Zec,SVN,Holstein Kiel,de Bundesliga,25.0,0,0,1,0,97,38,4
Jordan Zemura,ZIM,Udinese,Serie A,25.0,0,0,1,0,109,86,3
Robin Zentner,GER,Mainz 05,de Bundesliga,30.0,0,0,0,1,40,53,4
Alessio Zerbin,ITA,Napoli,Serie A,26.0,1,0,1,0,55,63,3
Kevin Zeroli,ITA,Milan,Serie A,20.0,0,1,0,0,55,58,3
Cedric Zesiger,SUI,Wolfsburg,de Bundesliga,26.0,0,0,1,0,94,94,4
Michael Zetterer,GER,Werder Bremen,de Bundesliga,29.0,0,0,0,1,40,92,4
Nathan Zeze,FRA,Nantes,Ligue 1,19.0,0,0,1,0,36,62,1
Edon Zhegrova,KVX,Lille,Ligue 1,25.0,1,1,0,0,62,50,1
Piotr Zieliński,POL,Inter,Serie A,30.0,0,1,0,0,85,39,3
Oleksandr Zinchenko,UKR,Arsenal,Premier League,28.0,0,1,1,0,102,2,2
Joshua Zirkzee,NED,Manchester Utd,Premier League,23.0,1,1,0,0,76,56,2
Budu Zivzivadze,GEO,Heidenheim,de Bundesliga,31.0,1,0,0,0,39,35,4
Luc Zogbé,CIV,Brest,Ligue 1,19.0,0,0,1,0,16,16,1
Nadir Zortea,ITA,Cagliari,Serie A,25.0,1,1,0,0,55,18,3
Aristide Zossou,CIV,Auxerre,Ligue 1,19.0,0,1,0,0,16,8,1
Yanis Zouaoui,ALG,Le Havre,Ligue 1,30.0,1,0,1,0,1,44,1
Igor Zubeldia,ESP,Real Sociedad,La Liga,27.0,0,0,1,0,33,73,0
Martín Zubimendi,ESP,Real Sociedad,La Liga,26.0,0,1,0,0,33,73,0
Edhy Zuliani,ITA,Toulouse,Ligue 1,20.0,0,0,1,0,55,85,1
Szymon Żurkowski,POL,Empoli,Serie A,27.0,0,1,0,0,85,25,3
Martin Ødegaard,NOR,Arsenal,Premier League,26.0,0,1,0,0,79,2,2
Milan Đurić,BIH,Parma,Serie A,34.0,1,0,0,0,11,69,3
